,id,conversation_id,created_at,username,user_id,tweet
27,1211612456289624064,1211612456289624064,2019-12-30 11:38:14+00:00,anismatta,109543367,Sebentar lagi kita akan menutup tahun yang penting dalam perjalanan bangsa dan dunia..
26,1211613014748585985,1211612456289624064,2019-12-30 11:40:28+00:00,anismatta,109543367,"Ini adalah akhir dari dekade kedua abad ke dua puluh satu.. Ada juga yang menetapkan akhir dekade pada tahun berakhiran 0 dan awal dekade pada tahun berakhiran 1.. Apa pun pendekatannya, menarik untuk melihat fenomena selama 10 tahun terakhir ini.."
25,1211614910968262657,1211612456289624064,2019-12-30 11:48:00+00:00,anismatta,109543367,"Perlambatan ekonomi, ketimpangan sosial ekonomi, krisis lingkungan, perlombaan senjata, dan krisis kemanusiaan di berbagai hotspot konflik adlh catatan penting dalam dasawarsa ini.."
24,1211619358511775744,1211612456289624064,2019-12-30 12:05:40+00:00,anismatta,109543367,"Kita harus jeli membaca, bahwa apa yang terjadi antara AS dan China bukan lagi sekadar perang dagang, melainkan perang supremasi, untuk membuktikan siapa yang paling unggul di Bumi ini.."
23,1211620233498132482,1211612456289624064,2019-12-30 12:09:09+00:00,anismatta,109543367,"Perang dagang AS-China hanyalah tindakan paling kasat mata, di balik itu ada perang intelijen, perang informasi dan disinformasi, serta proksi konflik di berbagai tempat.."
22,1211620723879362560,1211612456289624064,2019-12-30 12:11:06+00:00,anismatta,109543367,"Apa yang terjadi di Hong Kong, misalnya, tidak bisa kita lepaskan dari konstelasi perang supremasi ini.."
21,1211621625956667392,1211612456289624064,2019-12-30 12:14:41+00:00,anismatta,109543367,"Sebaliknya, kita melihat pemilihan umum di berbagai dunia telah menjadi ajang intervensi negara lain.. Kepentingan China di berbagai negara, khususnya yang tengah mengalami pemilu, diganggu dengan berbagai isu baik lokal maupun internasional.."
20,1211622903885647873,1211612456289624064,2019-12-30 12:19:45+00:00,anismatta,109543367,"Masyarakat internasional masih menunggu bagaimana resolusi konflik Uyghur, bagaimana China akan menyelesaikannya di tengah sorotan mata dunia.."
19,1211623273991041024,1211612456289624064,2019-12-30 12:21:14+00:00,anismatta,109543367,"Anti-globalisasi dan bangkitnya pemimpin kanan jauh di berbagai negara, khususnya di Eropa, merupakan satu fenomena tersendiri dalam dekade ini.."
18,1211624380775534595,1211612456289624064,2019-12-30 12:25:37+00:00,anismatta,109543367,"Dulu globalisasi ingin meminimalkan peran negara dalam lalu lintas modal, barang, uang, orang.. sehingga individu dibayangkan seperti tinggal di dalam “global village” tanpa sekat-sekat negara.."
17,1211625099515686912,1211612456289624064,2019-12-30 12:28:29+00:00,anismatta,109543367,Yang terjadi adlh individu hidup di dalam “global market” yang harus bersaing sendiri-sendiri tanpa perlindungan negara.. Kontrak sosial dgn negara dipertanyakan ketika pengurangan hambatan dlm skema2 perdagangan bebas menghasilkan serbuan persaingan...
16,1211625790099509248,1211612456289624064,2019-12-30 12:31:13+00:00,anismatta,109543367,"Namanya persaingan, ada yg menang dan ada yg kalah.. Kaum Globalis hingga sementara waktu menguasai dunia dengan jargon perdagangan bebas, global government, dan global democracy.. termasuk jg kaum finansial yg mengatur dunia lewat Wall Street dan pusat2 keuangan dunia lainnya.."
15,1211626952827666438,1211612456289624064,2019-12-30 12:35:51+00:00,anismatta,109543367,Individu yang kalah akhirnya marah dan mencari pemimpin yg bisa mengembalikan tameng2 perlindungan negara utk berlindung dari serbuan persaingan global..
14,1211627573383315457,1211612456289624064,2019-12-30 12:38:19+00:00,anismatta,109543367,"Apalagi setelah krisis pengungsi yang sampai menggoyah APBN negara2 Eropa.. Warga negara di Eropa marah, “Saya capek2 bayar pajak, yang menikmati orang dari Arab, Afrika yang tidak saya kenal..”"
13,1211628503113723904,1211612456289624064,2019-12-30 12:42:00+00:00,anismatta,109543367,"Di Amerika, dalam konteks yang berbeda, rakyat AS mencari perlindungan dari relokasi industri, serbuan barang impor, dan tenaga kerja murah.. Di Amerika yang marah bukan lagi kaum kulit hitam dan berwarna, tapi kaum kulit putih yang merasa terancam.."
12,1211630473153150976,1211612456289624064,2019-12-30 12:49:50+00:00,anismatta,109543367,"Inilah yang menjadi pemicu menangnya Trump di Amerika dan pemimpin kanan jauh di Eropa.. walau belum menjadi pemenang, sejumlah partai kanan mendulang suara cukup signifikan di Jerman dan Italia.."
11,1211631145068056577,1211612456289624064,2019-12-30 12:52:30+00:00,anismatta,109543367,Salah satu puncak dari anti-globalisasi adlh Brexit di Inggris yang semakin terang jalannya setelah kubu Boris Jhonson kembali memenangkan pemilu..
